;Opponent;score_dis
2;Atalanta;2.156645289692756
4;Bologna;1.232251790700789
5;Cagliari;-0.0928711457890441
11;Empoli;-3.87484872485632
12;Fiorentina;5.304855056123065
14;Genoa;-1.3144475558267472
15;Hellas-Verona;0.32693777303302385
16;Internazionale;-1.0948427334384818
17;Juventus;2.511047063939265
18;Lazio;-1.7325016570814777
20;Milan;3.875975692106449
21;Napoli;2.3732314017163003
25;Roma;1.5112828923965873
26;Salernitana;-2.301840069040986
27;Sampdoria;-1.830974558762808
28;Sassuolo;-1.9874189624092917
29;Spezia;-3.171983347588373
31;Torino;4.1625233131926755
33;Udinese;-1.5147667072822304
34;Venezia;-4.538254810825151
